User,Hardware (CPU & memory),Operating system,Programming language,SNR,Rate,"Constellation (PAM, PSK, QAM)",Constellation size (M),Quadrature nodes per real part (n),"Operation structure (loop, matrix)","Exponentiation (a^b, e^b·ln(a))","Parallelization (no, SIMD, OMP, cuda, MATLAB)","Maximization algorithm (grid, gradient descent, Newton)",Tolerance,Number of iterations,Total consumed time (ms),Total consumed time (computation units E0) ratio,Total consumed time ratio normalized with M^2
Arnau,i5,W10,C++,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,NAG (Using the last rho),1E-07,5,695.188,69.5188,
,,,,,,,128,20,,,,,1E-07,2,1642.745,74.67022727,
,,,,,,,256,20,,,,,1E-07,2,3707.866,72.7032549,
,,,,,,,512,20,,,,,1E-07,2,11068.927,45.17929388,
,,,,,,,1024,20,,,,,1E-07,0,299181.859,366.644435,
Arnau,i5,W10,C++,1,0.5,PAM,32,20,Matrix,e^b*ln(a),No,GD,1E-07,15,462.903,17.71741876,0.4520537109
,,,,,,,64,20,,,,,1E-07,15,1727.366,21.15185208,0.4217202148
,,,,,,,128,20,,,,,1E-07,15,3969.918,14.11345748,0.2423045654
,,,,,,,256,20,,,,,1E-07,15,13625.399,12.73738662,0.2079070892
,,,,,,,512,20,,,,,1E-07,15,91542.193,14.25788253,0.3492057533
Arnau,i5,W10,C++,1,0.5,PAM,32,20,Matrix,e^b*ln(a),No,"NAG (1 / 0.644112, 2.6)",1E-07,10,351.842,13.46660543,0.3435957031
,,,,,,,64,20,,,,,1E-07,10,885.476,10.84278455,0.2161806641
,,,,,,,128,20,,,,,1E-07,10,3075.366,10.93323521,0.1877054443
,,,,,,,256,20,,,,,1E-07,10,10425.502,9.746037503,0.1590805359
,,,,,,,512,20,,,,,1E-07,10,40271.901,6.272430395,0.1536251106
Arnau,i5,W10,C++,1,0.5,PAM,32,20,Matrix,e^b*ln(a),No,"NAG (1.5 / 0.644112, 2.6)",1E-07,7,208.134,7.966241819,0.2032558594
,,,,,,,64,20,,,,,1E-07,7,665.491,8.149035695,0.1624733887
,,,,,,,128,20,,,,,1E-07,7,2301.731,8.182885035,0.1404865112
,,,,,,,256,20,,,,,1E-07,7,7491.726,7.003465403,0.1143146667
,,,,,,,512,20,,,,,1E-07,7,27739.553,4.320491734,0.105817997
Arnau,i5,W10,C++,1,0.5,PAM,32,20,Matrix,e^b*ln(a),No,NM (wrong 2nd der),1E-07,15,433.719,16.60041337,0.4235537109
,,,,,,,64,20,,,,,1E-07,15,1604.993,19.6533766,0.3918439941
,,,,,,,128,20,,,,,1E-07,15,4096.643,14.56397759,0.2500392456
,,,,,,,256,20,,,,,1E-07,15,13815.011,12.91464098,0.2108003387
,,,,,,,512,20,,,,,1E-07,15,56647.988,8.823039214,0.2160949249
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,fminbnd (rho_init = 0.5),1E-07,10,106,9.636,
,,,,,,,128,20,,,,,1E-07,10,405,11.571,
,,,,,,,256,20,,,,,1E-07,10,1727,11.362,
,,,,,,,512,20,,,,,1E-07,10,7804,10.109,
,,,,,,,1024,20,,,,,1E-07,10,77767,9.197,
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,fminbnd (rho_init = 0.5),1E-04,9,125,11.364,
,,,,,,,128,20,,,,,1E-04,9,417,11.914,
,,,,,,,256,20,,,,,1E-04,9,1427,9.388,
