model,prompt,output,latency_s,words_per_s
google/flan-t5-small,Calculate the error probability for BPSK at SNR 7 and rate 0.8.,BPSK error probability at SNR 7 and rate 0.8.,0.572,15.7
google/flan-t5-small,"Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes.",Is there any problem with the error exponent?,0.12,66.4
google/flan-t5-small,"Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, rate 0.6, and SNR from 0 to 15.",Is the error probability versus SNR for 16-QAM?,0.151,52.9
google/flan-t5-small,What is modulation in digital communications?,a modulation in digital communications?,0.089,56.3
google/flan-t5-small,Compute the error exponent for QPSK when the rate is 0.9.,Is the rate 0.9 a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a resemblance to a,0.594,43.8
google/flan-t5-small,What does increasing block length N do to the probability of error?,What does increasing block length N do to the probability of error?,0.139,86.1
google/flan-t5-small,"Show me the error probability curve for BPSK with M=2, N=500, over SNRs from 0 to 12.","Is it possible to calculate error probability for BPSK with M=2, N=500, over SNRs from 0 to 12?",0.24,74.9
google/flan-t5-small,"How do I compute the error probability for 4-QAM at SNR 5, rate 0.7, N=200?",How do I calculate the error probability for 4QAM at SNR 5?,0.127,94.2
google/flan-t5-small,What's the difference between error exponent and error probability?,What's the difference between error exponent and error probability?,0.108,83.6
google/flan-t5-small,"If my system uses QPSK, SNR 10, and rate 0.6, what's the error exponent?",Is the error exponent a function?,0.097,62.1
google/flan-t5-small,"Calculate error probability for 8-QAM at rate 0.5, using 7 quadrature nodes and N=300.","if a n == 0.5, a n == 0.5, a n == 0.5, a n == 0.5, a n == 0.5, a n == 0.5, a n == 0.5",0.476,61.0
google/flan-t5-small,Explain what SNR means in digital communication.,Describe the function name and arguments for a communication simulation tool.,0.133,82.7
google/flan-t5-small,"For BPSK, rate 0.8, N=400, and SNR 12, what's the error probability?","BPSK is 0.8, N=400, and SNR 12",0.143,49.0
google/flan-t5-small,"Show a plot of error exponent vs rate for 16-QAM, M=16, N=100, over rates 0.2 to 1.0.",Is there a plot of error exponent for 16-QAM?,0.146,61.8
google/flan-t5-small,What's the purpose of using quadrature nodes in simulations?,What's the purpose of using quadrature nodes in simulations?,0.128,70.4
google/flan-t5-small,What's the error probability for QPSK if SNR is unknown but rate is 0.7 and N=150?,What is the error probability for QPSK if SNR is unknown but rate is 0.7 and N=150?,0.189,89.8
google/flan-t5-small,"Compute error exponent for 32-QAM at SNR 11, rate 0.65, using 9 quadrature nodes.",Is it possible to calculate error exponent for 32-QAM at SNR 11?,0.167,71.7
google/flan-t5-small,How likely is an error with BPSK at SNR 3 and rate 0.5?,How likely is an error with BPSK at SNR 3 and rate 0.5?,0.161,80.8
google/flan-t5-small,"Plot error probability for 8-PSK, SNR 0 to 15, M=8, N=200.","Is it possible to calculate a plot error probability for 8-PSK, SNR 0 to 15, M = 8, N = 200?",0.246,85.4
google/flan-t5-small,"What does ""rate"" mean in channel coding?",n,0.042,24.0
google/flan-t5-small,What's the error exponent for 4-QAM if the SNR is 8 and the rate is unknown?,What's the error exponent for 4-QAM if the SNR is 8 and the rate is unknown?,0.203,78.7
google/flan-t5-small,"Find the error probability for 64-QAM, SNR 13, rate 0.75, quadrature nodes 11, N=800.",0,0.044,22.6
google/flan-t5-small,Why is QPSK preferred over BPSK sometimes?,Why is QPSK preferred over BPSK sometimes?,0.106,65.7
google/flan-t5-small,"Can you plot error exponent versus SNR for BPSK with M=2, N=300, SNR from 0 to 10?",Does BPSK have a 0 to 10 error exponent?,0.124,72.7
google/flan-t5-small,Compute error probability for QPSK with N=500.,Is the QPSK with N=500?,0.102,49.2
google/flan-t5-small,What's the effect of increasing SNR on error probability?,What's the effect of increasing SNR on error probability?,0.134,67.3
google/flan-t5-small,"Find error exponent for 8-PSK, SNR unknown, rate 0.85.","if a function is not in operation, what is the error exponent for 8-PSK?",0.176,79.7
google/flan-t5-small,"What does ""N"" represent in these calculations?",n,0.042,23.7
google/flan-t5-small,"Calculate the error probability for 16-QAM at SNR 6, rate unknown, using N=1200.",Is the error probability for 16-QAM at SNR 6 a valid fact?,0.153,78.5
google/flan-t5-small,"Plot error probability vs SNR for QPSK, M=4, N=400, from SNR 0 to 20.","Is the n/a vs SNR for QPSK, M=4, N=400?",0.184,48.9
google/flan-t5-small,"Compute the error exponent for BPSK, rate 0.6, quadrature nodes 4.",BPSK is a recursive model of a communication simulation tool.,0.148,67.4
google/flan-t5-small,"What is ""8-QAM"" and when is it used?",What is the function name of the function that is used?,0.105,105.1
google/flan-t5-small,"How to find error probability for BPSK, rate 1.0, with 10 quadrature nodes?","How to find error probability for BPSK, rate 1.0, with 10 quadrature nodes?",0.165,78.9
google/flan-t5-small,What's the error probability of 4-QAM at SNR 9 and N=100?,What's the error probability of 4QAM at SNR 9 and N=100?,0.196,56.0
google/flan-t5-small,How does modulation order M affect performance?,How does modulation order M affect performance?,0.087,80.7
google/flan-t5-small,"Compute error exponent for 64-QAM, rate 0.9, using 12 quadrature nodes.",Is it possible to calculate error exponent for 64-QAM?,0.117,76.7
google/flan-t5-small,"Plot error exponent for 8-QAM, M=8, N=250, over SNR 0–18.",Is it possible to calculate a snr error exponent for 8-QAM?,0.158,69.6
google/flan-t5-small,"What is the meaning of ""quadrature nodes"" here?",quadrature nodes,0.066,30.1
google/flan-t5-small,"Calculate error probability for 32-QAM, rate 0.4, with N=50 and SNR 5.","if a snr is a snr, how many snrs are there?",0.187,59.0
google/flan-t5-small,"For BPSK, how does SNR 2 compare to SNR 10 in error probability?",How does SNR 2 compare to SNR 10 in error probability?,0.112,98.1
google/flan-t5-small,Find the error exponent for QPSK with rate 0.85 and 6 quadrature nodes.,0,0.039,25.6
google/flan-t5-small,What's the error probability for 64-QAM with SNR 12 and rate 0.9?,What's the error probability for 64-QAM with SNR 12 and rate 0.9?,0.15,79.8
google/flan-t5-small,Why use higher-order QAM?,Why use higher-order QAM?,0.077,52.1
google/flan-t5-small,"Plot error probability vs SNR for 32-QAM, M=32, N=2000, SNR from 5 to 20.",Is it possible to calculate a snr for 32-QAM?,0.138,65.3
google/flan-t5-small,"Give me the error exponent for 16-QAM, SNR 7, rate unknown, quadrature nodes 8.","Is there a problem with 16-QAM, SNR 7, rate unknown, quadrature nodes 8?",0.38,34.2
google/flan-t5-small,What factors affect the error probability in digital transmission?,What factors affect the error probability in digital transmission?,0.093,96.3
google/flan-t5-small,Calculate error probability for 8-PSK at SNR 15 and rate 0.7.,"idx = 0 for snr, rate, quadrature_nodes, n, and snr.",0.225,44.5
google/flan-t5-small,"What does ""error exponent"" tell us in practice?","What does ""error exponent"" mean in practice?",0.094,74.4
google/flan-t5-small,"Compute error exponent for BPSK, SNR 8, rate 0.75, 5 quadrature nodes.","BPSK, SNR 8, rate 0.75, 5 quadrature nodes.",0.139,57.7
google/flan-t5-small,"What's the error probability for QPSK at SNR 4, rate 0.6, and N=50?",What's the error probability for QPSK at SNR 4?,0.182,49.6
google/flan-t5-base,Calculate the error probability for BPSK at SNR 7 and rate 0.8.,BPSK at SNR 7 and rate 0.8,1.742,4.0
google/flan-t5-base,"Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes.","Find the error exponent if I use 8-PSK modulation with SNR 9, rate 0.5, and 5 quadrature nodes.",0.605,29.8
google/flan-t5-base,"Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, rate 0.6, and SNR from 0 to 15.","Plot the error probability versus SNR for 16-QAM, with M=16, N=1000, rate 0.6, and SNR from 0 to 15.",0.695,27.3
google/flan-t5-base,What is modulation in digital communications?,modulation in digital communications?,0.183,21.8
google/flan-t5-base,Compute the error exponent for QPSK when the rate is 0.9.,"calcErrorExponent(modulation, snr, rate, quadrature_nodes, n), computeErrorProbability(modulation, snr, rate, quadrature_nodes, n), plotFromFunction(",1.044,10.5
google/flan-t5-base,What does increasing block length N do to the probability of error?,What does increasing block length N do to the probability of error?,0.382,31.4
google/flan-t5-base,"Show me the error probability curve for BPSK with M=2, N=500, over SNRs from 0 to 12.","BPSK with M=2, N=500, over SNRs from 0 to 12.",0.478,20.9
